obs_date,target_tmax_next_day,tmax_lag1,tmax_lag2,tmax_lag3,tmax_lag7,tmin_today,temp_range_today,tmax_roll7_mean,tmax_roll30_mean,tmax_roll7_std,tmax_delta_1d,prcp_today,prcp_roll7_sum,doy_sin,doy_cos,month
1960-01-20,3.6,3.9,7.0,-0.9,-4.5,-9.6,13.5,-1.4714285714285715,0.62,5.228356748129787,-3.1,0.0,0.0,0.3373010691361842,0.9413968285264122,1
1960-01-21,1.2,3.6,3.9,7.0,-7.7,0.5,3.1,-0.31428571428571433,0.7619047619047619,5.341481870364119,-0.2999999999999998,0.0,0.0,0.3534446712740877,0.9354554315134164,1
1960-01-22,1.0,1.2,3.6,3.9,-5.0,-5.5,6.7,0.9571428571428572,0.7818181818181817,4.235113986209873,-2.4000000000000004,0.0,0.0,0.3694836834473831,0.9292372181882051,1
1960-01-23,-1.0,1.0,1.2,3.6,-3.1,-2.6,3.6,1.8142857142857143,0.7913043478260869,3.341371261138443,-0.19999999999999996,0.0,0.0,0.38541335945432564,0.9227440286201427,1
1960-01-24,0.9,-1.0,1.0,1.2,-0.9,-5.8,4.8,2.1142857142857143,0.7166666666666667,2.8904605004673405,-2.0,0.0,0.0,0.4012289854475009,0.9159777842484877,1
1960-01-25,2.0,0.9,-1.0,1.0,7.0,-2.4,3.3,2.3714285714285714,0.7240000000000001,2.6474605982049337,1.9,0.2,0.2,0.4169258813287287,0.908940487313808,1
1960-01-26,2.0,2.0,0.9,-1.0,3.9,0.5,1.5,1.6571428571428573,0.7730769230769231,1.6929827158569815,1.1,0.1,0.30000000000000004,0.4324994021339788,0.901634220265486,1
1960-01-27,2.0,2.0,2.0,0.9,3.6,0.5,1.5,1.385714285714286,0.8185185185185185,1.4005101111482832,0.0,1.2,1.5,0.44794493940789115,0.8940611451454876,1
1960-01-28,7.1,2.0,2.0,2.0,1.2,-0.1,2.1,1.157142857142857,0.8607142857142858,1.0706028564273873,0.0,0.1,1.6,0.4632579225674917,0.88622350294858,1
1960-01-29,8.0,7.1,2.0,2.0,1.0,-0.8,7.9,2.0,1.0758620689655172,2.490649179096353,5.1,0.2,1.8,0.4784338202547012,0.8781236129591848,1
